,GenerationDownActivatedVolume,GenerationUpActivatedVolume,LoadDownActivatedVolume,LoadUpActivatedVolume,NotSpecifiedDownActivatedVolume,NotSpecifiedUpActivatedVolume
count,128884.0,129652.0,1181.0,574.0,116319.0,146915.0
mean,31.91613287917817,18.34224817202974,47.61106689246401,0.0,4.707570904151514,4.565777422319028
std,196.7356617675294,104.66533232595368,108.36479382573752,0.0,25.338649666683114,93.16123321178522
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.48,1.37,0.0,0.0,0.0,0.0
max,4557.07,2235.8,508.0,0.0,1172.5,34200.0
