,AllocatedCapacity,CapacityPrice,RequestedCapacity
count,103656.0,103656.0,103656.0
mean,520.4919892722081,5.931525912634098,1037.8232387898433
std,434.68773391678275,103.48517532609112,1165.235363929739
min,0.0,0.0,0.0
25%,95.0,0.0,257.0
50%,559.0,0.01,838.0
75%,873.0,0.13,1225.0
max,4011.0,4246.6,12860.0
