,Aggregated,Revenue
count,24698.0,24698.0
mean,0.6365292736253948,96.30774192242286
std,0.4810084462595221,177.53906007284937
min,0.0,0.0
25%,0.0,0.0
50%,1.0,0.0
75%,1.0,133.35
max,1.0,1137.5
