,MaximumTotalLoadValue,MinimumTotalLoadValue
count,2922.0,2922.0
mean,1091.5182751540042,730.4208761122518
std,251.48111045595684,203.4251312602829
min,0.0,0.0
25%,975.825,633.8249999999999
50%,1101.1,743.8
75%,1254.3,852.2
max,1984.0,1521.0
