,AllocatedCapacity,CapacityPrice,RequestedCapacity
count,81071.0,81071.0,81071.0
mean,102.85895079621567,7.754258119426182,672.0249411010102
std,88.58691381297481,21.470146456839895,597.1082666662974
min,0.0,0.0,0.0
25%,50.0,0.21,316.0
50%,75.0,1.66,498.0
75%,148.0,8.71,850.0
max,720.0,190.0,4915.0
