,AllocatedCapacity,CapacityPrice,RequestedCapacity
count,23293.0,23293.0,23293.0
mean,74.98265573348216,11.061113209977247,244.2019920147684
std,38.49736369604583,41.126098003391,185.6541824714784
min,0.0,0.0,0.0
25%,25.0,0.0,100.0
50%,99.0,0.05,201.0
75%,100.0,3.7,338.0
max,125.0,330.0,1415.0
