,Value,Version
count,9018.0,7776.0
mean,0.04435573297848747,2.3791152263374484
std,4.2121601573769505,4.344081508901803
min,0.0,1.0
25%,0.0,1.0
50%,0.0,1.0
75%,0.0,1.0
max,400.0,38.0
