,Aggregated,Revenue
count,78912.0,78912.0
mean,0.859742497972425,769.3946527777779
std,0.3472561925586848,2265.113299169922
min,0.0,0.0
25%,1.0,15.0
50%,1.0,63.09
75%,1.0,394.5
max,1.0,20262.0
