,Aggregated,Revenue
count,70128.0,70128.0
mean,0.9288586584531143,54.105838324207156
std,0.25706262537350305,620.3200327153838
min,0.0,0.0
25%,1.0,0.0
50%,1.0,0.0
75%,1.0,0.0
max,1.0,91917.92
