,Aggregated,Revenue
count,81071.0,81071.0
mean,0.7525008942778552,1499.863468441243
std,0.4315618098298901,9261.799773109045
min,0.0,0.0
25%,1.0,1.0
50%,1.0,28.85
75%,1.0,264.18
max,1.0,1655760.0
