,Aggregated,Revenue
count,98088.0,98088.0
mean,0.49508604518391647,1427.9445064635838
std,0.49997840109307723,4965.595506753959
min,0.0,0.0
25%,0.0,0.0
50%,0.0,12.74
75%,1.0,351.47249999999997
max,1.0,768933.0
