,AllocatedCapacity,CapacityPrice,RequestedCapacity
count,262944.0,262787.0,262944.0
mean,589.6175960280516,0.060886649644008264,1786.1999344727392
std,1176.45492136759,1.6192116905188374,5088.525086355626
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,392.0,0.0,557.9
max,6398.0,355.0,44300.0
