,MaximumTotalLoadValue,MinimumTotalLoadValue
count,417.0,417.0
mean,1186.0501199040768,662.1208633093526
std,151.15441578015964,107.97941876198436
min,894.0,387.1
25%,1065.0,568.0
50%,1165.0,656.0
75%,1314.0,750.0
max,1619.0,949.0
