,AllocatedCapacity,CapacityPrice,RequestedCapacity
count,81071.0,81071.0,81071.0
mean,186.951511637947,5.6992562075218025,1372.680491791146
std,258.8317319311,71.10309737149315,2625.5588412525476
min,0.0,0.0,0.0
25%,50.0,0.06,250.0
50%,99.0,0.26,518.0
75%,220.0,1.74,1478.0
max,2059.0,1555.47,26834.0
