,AllocationInstanceID,Revenue
count,96576.0,96576.0
mean,516276.22510768723,4554.613923542081
std,229187.84781212633,43276.32656416631
min,150962.0,-33671.15
25%,331800.0,0.0
50%,472139.0,0.0
75%,696437.0,0.0
max,1001090.0,4368802.0
