,AllocationInstanceID,Revenue
count,194742.0,194742.0
mean,675038.7017284407,209.64399436177095
std,207429.55152153142,20347.286132910267
min,150926.0,-2546.99
25%,548385.0,0.0
50%,693522.0,0.0
75%,840206.0,0.0
max,1000901.0,5401683.0
